iter	Logloss
0	0.6581057237
1	0.6350013327
2	0.6189087114
3	0.6073507951
4	0.5993608623
5	0.5938429551
6	0.5892573857
7	0.5856968126
8	0.5830379874
9	0.5808620783
10	0.5791363021
11	0.5776266703
12	0.576400943
13	0.5752314156
14	0.5740698914
15	0.572713268
16	0.5718848528
17	0.5709056226
18	0.5701819004
19	0.5695073828
20	0.5687758354
21	0.5679567868
22	0.5673219885
23	0.5663258035
24	0.5657368307
25	0.5648669176
26	0.5641544592
27	0.5636057986
28	0.5628768596
29	0.5623249384
30	0.5617549954
31	0.5610239222
32	0.5605321136
33	0.5598835618
34	0.5593005766
35	0.558814222
36	0.5579511857
37	0.5574434894
38	0.5568174058
